instrument_name,instrument_id,date
PVR,101,08-08-2018
HINDPETRO,249,09-08-2018
INDIANB,229,09-08-2018
ICICIBANK,243,10-08-2018
SBIN,80,13-08-2018
VEDL,16,13-08-2018
TATASTEEL,41,14-08-2018
JINDALSTEL,209,16-08-2018
VEDL,16,16-08-2018
AXISBANK,376,17-08-2018
INFY,224,17-08-2018
INFY,224,20-08-2018
LT,177,20-08-2018
HCLTECH,260,21-08-2018
LT,177,21-08-2018
MGL,159,23-08-2018
STAR,63,23-08-2018
HEXAWARE,252,24-08-2018
HINDALCO,250,27-08-2018
LICHSGFIN,179,27-08-2018
HDFCBANK,257,28-08-2018
INFY,224,28-08-2018
ADANIENT,403,29-08-2018
RELIANCE,90,29-08-2018
CESC,333,30-08-2018
HDFCBANK,257,30-08-2018
DLF,308,03-09-2018
WIPRO,4,03-09-2018
TATAMOTORS,44,04-09-2018
TATAMTRDVR,43,04-09-2018
BEML,356,05-09-2018
INFRATEL,225,06-09-2018
TATAMOTORS,44,06-09-2018
BAJAJ-AUTO,375,07-09-2018
SUNPHARMA,57,07-09-2018
CHOLAFIN,330,10-09-2018
MFSL,160,10-09-2018
AXISBANK,376,11-09-2018
RELIANCE,90,11-09-2018
AXISBANK,376,12-09-2018
COLPAL,326,12-09-2018
SRTRANSFIN,64,14-09-2018
VEDL,16,14-09-2018
BATAINDIA,361,17-09-2018
INDIANB,229,18-09-2018
RELIANCE,90,18-09-2018
MCX,163,19-09-2018
HINDPETRO,249,21-09-2018
INDIGO,228,24-09-2018
BATAINDIA,361,25-09-2018
HINDPETRO,249,26-09-2018
UJJIVAN,21,26-09-2018
INDIGO,228,27-09-2018
TITAN,33,27-09-2018
IGL,236,28-09-2018
JUSTDIAL,197,01-10-2018
KOTAKBANK,187,01-10-2018
ADANIENT,403,04-10-2018
SRTRANSFIN,64,04-10-2018
BPCL,347,05-10-2018
HINDPETRO,249,05-10-2018
BPCL,347,08-10-2018
HINDALCO,250,08-10-2018
ADANIENT,403,09-10-2018
INDIGO,228,10-10-2018
JUSTDIAL,197,11-10-2018
BPCL,347,12-10-2018
CESC,333,15-10-2018
IBULHSGFIN,244,16-10-2018
INFY,224,16-10-2018
BANKBARODA,364,17-10-2018
HAVELLS,261,19-10-2018
MINDTREE,155,19-10-2018
PEL,120,22-10-2018
ASIANPAINT,384,23-10-2018
BERGEPAINT,355,23-10-2018
BAJFINANCE,370,24-10-2018
HINDPETRO,249,24-10-2018
HEXAWARE,252,25-10-2018
WIPRO,4,25-10-2018
BIOCON,351,26-10-2018
DIVISLAB,309,29-10-2018
ICICIBANK,243,29-10-2018
JUSTDIAL,197,30-10-2018
MOTHERSUMI,151,30-10-2018
DRREDDY,305,31-10-2018
CADILAHC,344,05-11-2018
ONGC,124,05-11-2018
RELIANCE,90,06-11-2018
SBIN,80,06-11-2018
BHARTIARTL,353,09-11-2018
HINDPETRO,249,09-11-2018
TITAN,33,12-11-2018
OIL,125,13-11-2018
TATAMOTORS,44,13-11-2018
BPCL,347,14-11-2018
HINDPETRO,249,14-11-2018
UBL,23,15-11-2018
TCS,38,16-11-2018
CANBK,343,20-11-2018
DRREDDY,305,21-11-2018
HINDPETRO,249,21-11-2018
MFSL,160,22-11-2018
RELIANCE,90,22-11-2018
HINDPETRO,249,26-11-2018
SUNPHARMA,57,27-11-2018
LUPIN,174,28-11-2018
BHARTIARTL,353,29-11-2018
TATAMOTORS,44,30-11-2018
JINDALSTEL,209,03-12-2018
SUNPHARMA,57,03-12-2018
HINDUNILVR,248,04-12-2018
SUNPHARMA,57,04-12-2018
BHARATFORG,354,05-12-2018
VEDL,16,05-12-2018
MUTHOOTFIN,146,07-12-2018
ESCORTS,299,10-12-2018
IOC,222,11-12-2018
KOTAKBANK,187,11-12-2018
IBULHSGFIN,244,12-12-2018
SUNPHARMA,57,13-12-2018
DABUR,316,14-12-2018
MOTHERSUMI,151,14-12-2018
VEDL,16,17-12-2018
INFY,224,18-12-2018
RELIANCE,90,18-12-2018
HINDALCO,250,20-12-2018
INFY,224,21-12-2018
IOC,222,21-12-2018
AMBUJACEM,393,24-12-2018
UBL,23,24-12-2018
HINDALCO,250,26-12-2018
JINDALSTEL,209,26-12-2018
IBULHSGFIN,244,27-12-2018
TATAMOTORS,44,28-12-2018
HDFCBANK,257,31-12-2018
TECHM,36,31-12-2018
SBIN,80,01-01-2019
JSWSTEEL,201,02-01-2019
HDFCBANK,257,03-01-2019
TCS,38,03-01-2019
INFY,224,04-01-2019
TITAN,33,07-01-2019
RELIANCE,90,08-01-2019
INFY,224,09-01-2019
SBIN,80,09-01-2019
INFY,224,10-01-2019
INFY,224,11-01-2019
TCS,38,11-01-2019
INFY,224,14-01-2019
TCS,38,14-01-2019
POWERGRID,106,15-01-2019
SUNTV,55,15-01-2019
ZEEL,2,16-01-2019
INFY,224,17-01-2019
RELIANCE,90,18-01-2019
DCBBANK,313,21-01-2019
LT,177,21-01-2019
JUSTDIAL,197,22-01-2019
SUNPHARMA,57,22-01-2019
ICICIPRULI,240,23-01-2019
INDIGO,228,24-01-2019
UJJIVAN,21,24-01-2019
ZEEL,2,28-01-2019
CHENNPETRO,331,29-01-2019
AXISBANK,376,30-01-2019
AJANTPHARM,398,31-01-2019
LICHSGFIN,179,31-01-2019
VEDL,16,01-02-2019
CONCOR,325,04-02-2019
BHARTIARTL,353,05-02-2019
SRF,65,05-02-2019
TATACHEM,49,06-02-2019
TECHM,36,06-02-2019
ICICIPRULI,240,07-02-2019
SIEMENS,74,07-02-2019
TATAMOTORS,44,08-02-2019
DRREDDY,305,11-02-2019
SUNTV,55,11-02-2019
AXISBANK,376,12-02-2019
RELIANCE,90,12-02-2019
OIL,125,13-02-2019
SUNPHARMA,57,13-02-2019
ONGC,124,15-02-2019
DRREDDY,305,19-02-2019
RELIANCE,90,19-02-2019
TCS,38,20-02-2019
CANBK,343,21-02-2019
KOTAKBANK,187,22-02-2019
TECHM,36,22-02-2019
ADANIPORTS,401,25-02-2019
RAMCOCEM,96,27-02-2019
WIPRO,4,27-02-2019
MUTHOOTFIN,146,28-02-2019
JUSTDIAL,197,01-03-2019
TATAMOTORS,44,05-03-2019
CANFINHOME,342,06-03-2019
BIOCON,351,07-03-2019
RECLTD,92,07-03-2019
WIPRO,4,08-03-2019
ICICIPRULI,240,11-03-2019
RECLTD,92,11-03-2019
INDIANB,229,12-03-2019
RELIANCE,90,12-03-2019
APOLLOTYRE,389,13-03-2019
NMDC,130,13-03-2019
JUBLFOOD,199,14-03-2019
RELIANCE,90,15-03-2019
LUPIN,174,18-03-2019
PETRONET,119,19-03-2019
RELIANCE,90,20-03-2019
ICICIPRULI,240,22-03-2019
RECLTD,92,22-03-2019
KTKBANK,183,25-03-2019
ICICIPRULI,240,26-03-2019
RELIANCE,90,26-03-2019
ICICIPRULI,240,27-03-2019
ICICIPRULI,240,28-03-2019
HDFC,259,29-03-2019
BANKBARODA,364,01-04-2019
CIPLA,329,01-04-2019
HEXAWARE,252,02-04-2019
ZEEL,2,02-04-2019
MARICO,166,03-04-2019
AMARAJABAT,395,04-04-2019
IBULHSGFIN,244,04-04-2019
APOLLOHOSP,390,05-04-2019
CEATLTD,336,05-04-2019
IBULHSGFIN,244,08-04-2019
KTKBANK,183,08-04-2019
ASIANPAINT,384,09-04-2019
MUTHOOTFIN,146,09-04-2019
INFRATEL,225,10-04-2019
BERGEPAINT,355,11-04-2019
MFSL,160,18-04-2019
BHARTIARTL,353,23-04-2019
LUPIN,174,24-04-2019
CASTROLIND,339,25-04-2019
OIL,125,25-04-2019
AXISBANK,376,26-04-2019
UJJIVAN,21,26-04-2019
ESCORTS,299,02-05-2019
ADANIENT,403,03-05-2019
TATACHEM,49,06-05-2019
TITAN,33,06-05-2019
CHENNPETRO,331,07-05-2019
MARICO,166,07-05-2019
CANBK,343,08-05-2019
VOLTAS,10,10-05-2019
ZEEL,2,10-05-2019
INDIGO,228,14-05-2019
STAR,63,14-05-2019
PIDILITIND,112,15-05-2019
VEDL,16,15-05-2019
MANAPPURAM,168,16-05-2019
TATAMOTORS,44,16-05-2019
TORNTPOWER,29,17-05-2019
ADANIENT,403,20-05-2019
BHARATFORG,354,21-05-2019
TATAMOTORS,44,21-05-2019
